brand         , name               , iso , format    , color_type    , description                                                                                                        , best_practice
Fujifilm      , Fujicolor C200     ,  200, format_135, color_negative, "The 2024-2026 re-production of the classic C200 emulsion. Known for natural skin tones and a clean green palette.", "Excellent for daylight general use. Provides a cooler, more natural alternative to Kodak Gold."
Fujifilm      , Fujicolor C400     ,  400, format_135, color_negative, "Newly re-introduced high-speed color negative film. Versatile for street and varied lighting."                    , "Great all-rounder for everyday 35mm shooting. Handles overcast skies and movement well."
Fujifilm      , Fuji 200           ,  200, format_135, color_negative, "Modern consumer color film. Note: Shares a warm, yellow-leaning emulsion with Kodak Gold in certain markets."     , "Best in bright sun for punchy, saturated snapshots. Highly affordable."
Fujifilm      , Fuji 400           ,  400, format_135, color_negative, "Current high-speed consumer replacement for the older Superia lines. Reliable and sharp."                         , "Ideal for point-and-shoots and indoor/outdoor events where extra speed is needed."
Fujifilm      , Velvia 50          ,   50, format_120, slide         , "Legendary for landscape photography; extreme saturation and high contrast."                                       , "Meter for the highlights. Best used on a tripod for maximum detail at sunrise/sunset."
Fujifilm      , Velvia 100         ,  100, format_135, slide         , "Professional transparency film with high sharpness and intense coloration."                                       , "Slightly more magenta-biased than Velvia 50. Excellent for nature and florals."
Fujifilm      , Provia 100F        ,  100, format_135, slide         , "Professional all-purpose slide film with neutral color rendering and fine grain."                                 , "The most versatile E-6 film for fashion, product, and landscape work."
Fujifilm      , Neopan Acros 100 II,  100, format_135, b_w           , "Sophisticated B&W film with incredible sharpness and fine grain."                                                 , "The premier choice for long exposures due to its superior reciprocity characteristics."
Kodak         , Gold 200           ,  200, format_135, color_negative, "The core of consumer color film. Famous for its warm, yellow-gold color palette."                                 , "Thrives in harsh, direct sunlight. Very forgiving exposure latitude."
Kodak         , Gold 200           ,  200, format_120, color_negative, "Medium format version of the classic consumer stock. Very popular for TLRs."                                      , "Pairs perfectly with your TLR for a warm, vintage aesthetic at a lower price point than Portra."
Kodak         , UltraMax 400       ,  400, format_135, color_negative, "Flexible high-speed consumer film with punchy, vibrant colors."                                                   , "The 'go-to' film for casual 35mm shooting in unpredictable light."
Kodak         , Portra 400         ,  400, format_135, color_negative, "Professional standard for weddings. Exceptional skin tones and fine grain."                                       , "Overexpose by 1 stop (meter at 200) for high-key, pastel tones."
Kodak         , Portra 160         ,  160, format_120, color_negative, "Low-saturation professional stock for natural, subtle colors."                                                    , "Best for controlled studio light or soft overcast outdoor portraits."
Kodak         , Portra 800         ,  800, format_135, color_negative, "Professional high-speed film with rich saturation and pleasing grain."                                            , "One of the best choices for indoor events or blue-hour street photography."
Kodak         , Ektar 100          ,  100, format_120, color_negative, "The finest grain of any color negative film. High saturation and contrast."                                       , "The landscape king. Avoid for portraits as it often makes skin look too red."
Kodak         , Ektachrome E100    ,  100, format_135, slide         , "Modern color reversal film with neutral tones and incredibly fine grain."                                         , "Meter precisely for the highlights. Scans beautifully for digital workflows."
Kodak         , Tri-X 400          ,  400, format_135, b_w           , "Iconic high-contrast B&W film with a gritty, classic grain structure."                                            , "Excellent for street photography; pushes to 1600 or 3200 ISO with ease."
